order_id,customer_id,item_count,grand_total,payment_mode,promo_code,vendor_discount_amount,promo_code_discount_percentage,is_favorite,is_rated,vendor_rating,driver_rating,deliverydistance,preparationtime,delivery_time,order_accepted_time,driver_accepted_time,ready_for_pickup_time,picked_up_time,delivered_time,delivery_date,vendor_id,created_at,LOCATION_NUMBER,LOCATION_TYPE,CID X LOC_NUM X VENDOR
163923,KL09J9N,6,10.1,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,84,8/2/2024 5:33,0,Work,KL09J9N X 0 X 84
163924,H5LGGFX,3,8.4,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,78,8/2/2024 5:34,0,Home,H5LGGFX X 0 X 78
163925,CYLZB6T,4,15,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,4,8/2/2024 5:35,0,Work,CYLZB6T X 0 X 4
163929,4YKUKYN,7,27.2,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,157,8/2/2024 5:39,0,Home,4YKUKYN X 0 X 157
163930,WDNU30K,1,6.5,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,160,8/2/2024 5:39,0,Home,WDNU30K X 0 X 160
163931,WDNU30K,4,15.5,2,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,43,8/2/2024 5:41,0,Home,WDNU30K X 0 X 43
163934,TVSPG2H,4,15,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,43,8/2/2024 5:45,0,Work,TVSPG2H X 0 X 43
163935,OYLHPF4,2,9.2,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,78,8/2/2024 5:47,0,Work,OYLHPF4 X 0 X 78
163936,AV6FKT9,2,8.4,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,43,8/2/2024 5:47,0,Work,AV6FKT9 X 0 X 43
163938,BQG3CJO,3,26.6,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,294,8/2/2024 5:51,0,Home,BQG3CJO X 0 X 294
163940,EO5GVSI,3,13,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,78,8/2/2024 5:57,0,Home,EO5GVSI X 0 X 78
163941,TVSPG2H,2,7.1,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,105,8/2/2024 5:57,0,Work,TVSPG2H X 0 X 105
163942,ESRFDR9,2,12.8,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,104,8/2/2024 5:59,0,Work,ESRFDR9 X 0 X 104
163945,84X44S0,3,13.5,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,243,8/2/2024 6:05,0,Work,84X44S0 X 0 X 243
163946,II9FYLU,5,26.1,2,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,83,8/2/2024 6:09,0,Home,II9FYLU X 0 X 83
163947,ZMO0A3K,1,4.6,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,78,8/2/2024 6:10,0,Home,ZMO0A3K X 0 X 78
163954,X8BK4DW,2,5.2,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,78,8/2/2024 6:21,0,Other,X8BK4DW X 0 X 78
163955,KQH8R8C,6,30.4,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,159,8/2/2024 6:21,0,Home,KQH8R8C X 0 X 159
163956,II9FYLU,3,3.5,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,83,8/2/2024 6:21,0,Home,II9FYLU X 0 X 83
163957,CF80YUJ,2,12.5,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,105,8/2/2024 6:27,0,Home,CF80YUJ X 0 X 105
163958,K9UGDAM,2,10.1,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,55,8/2/2024 6:28,0,Other,K9UGDAM X 0 X 55
163960,IO5L2X3,1,7.3,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,83,8/2/2024 6:31,0,Work,IO5L2X3 X 0 X 83
163963,SVFMLCH,2,12.8,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,83,8/2/2024 6:36,0,Home,SVFMLCH X 0 X 83
163964,3Z3DV1U,2,6.5,1,,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,231,8/2/2024 6:39,0,Home,3Z3DV1U X 0 X 231
163965,DFIDHD7,3,18.2,1,hakedpdo,0,,,No,,0,0,,,,,,,,8/1/2024 5:30,105,8/2/2024 6:43,0,Home,DFIDHD7 X 0 X 105
163974,DGEEXVO,3,12.2,2,,0,,,No,,0,0,,,,,,,,8/2/2024 5:30,81,8/2/2024 17:01,0,,DGEEXVO X 0 X 81
163975,35BJMOC,1,5.1,2,,0,,,No,,0,0,,,,,,,,8/2/2024 5:30,300,8/2/2024 17:17,1,Home,35BJMOC X 1 X 300
163977,2TWWD7O,4,10.5,2,,0,,,No,,0,0,,,,,,,,8/2/2024 5:30,180,8/2/2024 17:17,0,Home,2TWWD7O X 0 X 180
163980,XW90EAP,2,11.6,2,,0,,,No,,0,0,,,,,,,,8/2/2024 5:30,13,8/2/2024 17:35,0,,XW90EAP X 0 X 13
163982,E8ION1G,3,11.4,1,,0,,,No,,0,0,,,,,,,,8/2/2024 5:30,300,8/2/2024 17:43,0,,E8ION1G X 0 X 300
163986,P4UIR87,4,19.6,1,,0,,,No,,0,0,,,,,,,,8/2/2024 5:30,20,8/2/2024 17:52,0,,P4UIR87 X 0 X 20
163987,DIQ1RUF,3,12.7,1,,0,,,No,,0,0,,,,,,,,8/2/2024 5:30,20,8/2/2024 17:55,0,,DIQ1RUF X 0 X 20
163995,32VMUF3,3,12.7,1,,0,,,No,,0,0,,,,,,,,8/2/2024 5:30,20,8/2/2024 18:23,0,Work,32VMUF3 X 0 X 20
163997,LATI4VK,2,17.7,2,,0,,,No,,0,0,,,,,,,,8/2/2024 5:30,303,8/2/2024 18:27,0,Home,LATI4VK X 0 X 303
